Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

05:01:08 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:11 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:11 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:12 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:12 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:12 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:12 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:12 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:12 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:12 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:13 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:13 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:13 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:13 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:13 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:13 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:14 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464282    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:14 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:14 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:14 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:14 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:14 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:14 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:14 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:14 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:15 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:15 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:15 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:15 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:16 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464282    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:16 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:16 PM 100998   3464565    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:16 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:16 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:16 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:16 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:17 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:17 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:17 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:17 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:17 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:17 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:17 PM 100998   3464519    0.00    1.00    0.00    0.00    1.00     5  postgres
05:01:17 PM 100998   3464520    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464522    1.00    0.00    0.00    0.00    1.00     5  postgres
05:01:17 PM 100998   3464528    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:17 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:17 PM 100998   3464535    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:17 PM 100998   3464536    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464546    1.00    1.00    0.00    0.00    2.00     4  postgres
05:01:17 PM 100998   3464552    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:17 PM 100998   3464553    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:17 PM 100998   3464563    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464564    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464565    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:17 PM 100998   3464566    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:17 PM 100998   3464567    1.00    0.00    0.00    0.00    1.00     5  postgres
05:01:17 PM 100998   3464568    1.00    1.00    0.00    0.00    2.00     5  postgres
05:01:17 PM 100998   3464570    0.00    1.00    0.00    0.00    1.00     4  postgres

05:01:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:18 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:18 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:18 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464518    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:18 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3464528    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:18 PM 100998   3464534    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:18 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464536    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:18 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:18 PM 100998   3464553    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:18 PM 100998   3464561    1.00    1.00    0.00    0.00    2.00     5  postgres
05:01:18 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:18 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:18 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:18 PM 100998   3464570    1.00    0.00    0.00    0.00    1.00     4  postgres

05:01:18 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:19 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:19 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:19 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:19 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:19 PM 100998   3464282    1.00    0.00    0.00    0.00    1.00     6  postgres
05:01:19 PM 100998   3464518    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:19 PM 100998   3464519    1.00    0.00    0.00    0.00    1.00     5  postgres
05:01:19 PM 100998   3464520    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:19 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:19 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464535    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:19 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:19 PM 100998   3464552    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:19 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:19 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:19 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464564    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:19 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:19 PM 100998   3464567    0.00    1.00    0.00    0.00    1.00     5  postgres
05:01:19 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:19 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     4  postgres

05:01:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:20 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:20 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:20 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3464282    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:20 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:20 PM 100998   3464519    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3464520    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464522    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464534    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:20 PM 100998   3464535    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464546    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:20 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3464563    0.00    1.00    0.00    0.00    1.00     6  postgres
05:01:20 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464565    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:20 PM 100998   3464566    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:20 PM 100998   3464567    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:20 PM 100998   3464568    1.00    0.00    0.00    0.00    1.00     5  postgres
05:01:20 PM 100998   3464570    1.00    0.00    0.00    0.00    1.00     6  postgres

05:01:20 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:21 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:21 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3463605    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:21 PM 100998   3464282    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464518    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464519    0.00    1.00    0.00    0.00    1.00     5  postgres
05:01:21 PM 100998   3464520    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:21 PM 100998   3464522    1.00    1.00    0.00    0.00    2.00     5  postgres
05:01:21 PM 100998   3464528    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:21 PM 100998   3464534    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464535    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:21 PM 100998   3464536    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464546    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:21 PM 100998   3464552    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464553    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464561    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:21 PM 100998   3464563    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:21 PM 100998   3464564    0.00    0.00    0.00    0.00    0.00     4  postgres
05:01:21 PM 100998   3464565    1.00    0.00    0.00    0.00    1.00     4  postgres
05:01:21 PM 100998   3464566    0.00    1.00    0.00    0.00    1.00     4  postgres
05:01:21 PM 100998   3464567    1.00    0.00    0.00    0.00    1.00     5  postgres
05:01:21 PM 100998   3464568    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:21 PM 100998   3464570    0.00    0.00    0.00    0.00    0.00     6  postgres

05:01:21 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:22 PM 100998   3463601    0.00    0.00    0.00    0.00    0.00     6  postgres
05:01:22 PM 100998   3463602    0.00    0.00    0.00    0.00    0.00     5  postgres
05:01:22 PM 100998   3463604    0.00    0.00    0.00    0.00    0.00     6  postgres
